Nome,URL,Inscritos,Links,Emails
storable futebol,https://www.youtube.com/channel/UCw398VYlwdG-VZa4HinrL0w,226000,"N, e, n, h, u, m,  , l, i, n, k,  , e, n, c, o, n, t, r, a, d, o","N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
Futebol Nacional,https://www.youtube.com/channel/UCRpuxdZGkUpiqPfsrqe1xoQ,843000,"N, e, n, h, u, m,  , l, i, n, k,  , e, n, c, o, n, t, r, a, d, o","N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
DNA Futebol,https://www.youtube.com/channel/UC4tMPvF5kdLww6IbV7xxGsw,525000,"N, e, n, h, u, m,  , l, i, n, k,  , e, n, c, o, n, t, r, a, d, o","N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
Futebol Máximo,https://www.youtube.com/channel/UCjbnazLwevrhQxGfbws_VmQ,485000,"N, e, n, h, u, m,  , l, i, n, k,  , e, n, c, o, n, t, r, a, d, o","N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
Super Futebol Desenhos Animados,https://www.youtube.com/channel/UCI2NNtfcLlI3twXzut_cpeQ,471000,https://www.youtube.com/watch?v=EXLXQEUba9k&list=PL51l3DbvUa-aOlR8pUJJqgz7vo-6zfQbp&index=1&t=0s,"N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
Futebol Paulista,https://www.youtube.com/channel/UCBFcL3nMWFcNnoWOEtacp1w,378000,"N, e, n, h, u, m,  , l, i, n, k,  , e, n, c, o, n, t, r, a, d, o","N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
Confederação Brasileira de Futebol de Salão,https://www.youtube.com/channel/UCQm8rQBRn_qRHMOWdnYtA_w,215000,"https://www.threads.net/@oficialcbfs, https://www.instagram.com/oficialcbfs/, https://twitter.com/cbfsoficial, https://www.facebook.com/CBFSOficial/, https://www.flickr.com/photos/cbfsofi...","N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
Nosso Futebol,https://www.youtube.com/channel/UCMcc9elPZGpg6eU4i3YaCpA,318000,"N, e, n, h, u, m,  , l, i, n, k,  , e, n, c, o, n, t, r, a, d, o","N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
Futebol Brasileño ,https://www.youtube.com/channel/UCA2W7cznuwJpXrjAOmntb1w,115000,"N, e, n, h, u, m,  , l, i, n, k,  , e, n, c, o, n, t, r, a, d, o","N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
Varanda Futebol Debate,https://www.youtube.com/channel/UCXzbpI8_lV6z9K6-3vFUcJw,131000,"N, e, n, h, u, m,  , l, i, n, k,  , e, n, c, o, n, t, r, a, d, o","N, e, n, h, u, m,  , e, -, m, a, i, l,  , e, n, c, o, n, t, r, a, d, o"
