Nome,URL,Inscritos,Links,Emails
Esporte na Band,https://www.youtube.com/channel/UC896QaWKoSGdZTmy9rHyU_g,826000,Nenhum link encontrado,Nenhum e-mail encontrado
Jovem Pan Esportes,https://www.youtube.com/channel/UCv-Nx8pSfG_LxbViMz14RWQ,4930000,Nenhum link encontrado,Nenhum e-mail encontrado
UOL Esporte,https://www.youtube.com/channel/UC3KHYFWeB0WimMBfm3NEahQ,1320000,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Por Esporte - SANTOS  FC,https://www.youtube.com/channel/UC84-NUu0iJzfY5eU7nu8soA,55100,Nenhum link encontrado,Nenhum e-mail encontrado
TNT Sports Brasil,https://www.youtube.com/channel/UCs-6sCz2LJm1PrWQN4ErsPw,11300000,Nenhum link encontrado,Nenhum e-mail encontrado
Alterosa Esporte,https://www.youtube.com/channel/UCf69PDS9TfGvwbFWcjr4eaQ,291000,Nenhum link encontrado,Nenhum e-mail encontrado
Esportes,https://www.youtube.com/channel/UCVHCOrYd4KABtC1mtqiJI6w,585,Nenhum link encontrado,Nenhum e-mail encontrado
Cruzeiro Esporte Clube,https://www.youtube.com/channel/UCqifkpdmE1z3VhfQoJzwpJQ,640000,Nenhum link encontrado,Nenhum e-mail encontrado
Flow Sport Club,https://www.youtube.com/channel/UC5-aueB1RqpUc-EeAjtx9Lw,966000,https://www.youtube.com/channel/UCUN1WEb4N7ZGCtRjzD_suag,comercial@goldenpill.com.br
Itatiaia Esporte,https://www.youtube.com/channel/UCezhRry1J2kNRNCdNDHimNA,456000,Nenhum link encontrado,Nenhum e-mail encontrado
Centauro Esporte,https://www.youtube.com/channel/UCan_Wx7ODIw_DMb_v16pfFw,54700,https://www.centauro.com.br.,Nenhum e-mail encontrado
Ministério do Esporte,https://www.youtube.com/channel/UCasU7mePJH0W0uzkVle9XGQ,30400,Nenhum link encontrado,Nenhum e-mail encontrado
Band Esporte Clube,https://www.youtube.com/channel/UCajU2T1qJEFblVLUzoXuDIA,99600,Nenhum link encontrado,Nenhum e-mail encontrado
CNN Esportes,https://www.youtube.com/channel/UCxERJM046RIRgl5cH-ss3yw,103000,Nenhum link encontrado,Nenhum e-mail encontrado
Rádio Transamérica Esportes,https://www.youtube.com/channel/UC7COFHIM1-Osm9Sm0qIz-xQ,290000,Nenhum link encontrado,Nenhum e-mail encontrado
Voz do Esporte,https://www.youtube.com/channel/UCeCITRe4KHrRbzwqtZFDRFA,45200,Nenhum link encontrado,Nenhum e-mail encontrado
Secretaria do Esporte (Paraná Esporte),https://www.youtube.com/channel/UCY3yKADudYSvg0O3y1KcdBw,3430,Nenhum link encontrado,Nenhum e-mail encontrado
PUC TV Esportes,https://www.youtube.com/channel/UCF7xoGmI2x0v84T81Mx02Hw,48500,Nenhum link encontrado,Nenhum e-mail encontrado
Guaíba Esporte,https://www.youtube.com/channel/UCxJUykRsDm0bUJGopl-Xf3A,5810,Nenhum link encontrado,Nenhum e-mail encontrado
Máquina do Esporte,https://www.youtube.com/channel/UCArfBLBEmoexanL2yhHfkJw,26500,Nenhum link encontrado,Nenhum e-mail encontrado
Goiás Esporte Clube,https://www.youtube.com/channel/UCDoUNRSo1gArmS2ygB2uBaA,119000,Nenhum link encontrado,Nenhum e-mail encontrado
Bandsports,https://www.youtube.com/channel/UCEOMB0FexwjN4ViZTZLFrkQ,1020000,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte SescSP,https://www.youtube.com/channel/UCqWZIVuGYkkTYrALNBZIM8Q,8630,Nenhum link encontrado,Nenhum e-mail encontrado
TV Sport ,https://www.youtube.com/channel/UCcx4WJUVEGzr-tIyk8r3VHw,197000,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Mais TV,https://www.youtube.com/channel/UC0r9wUAsOTaVjJQYsUBXkRw,11800,Nenhum link encontrado,Nenhum e-mail encontrado
Marcou no Esporte,https://www.youtube.com/channel/UC8MttESYADGiYTEK8UG_X2Q,6890,https://linktr.ee/marcounoesporte,Nenhum e-mail encontrado
Thathi Esporte,https://www.youtube.com/channel/UCDRczKiJmbKC4cd1JJokJEw,5840,Nenhum link encontrado,Nenhum e-mail encontrado
Arquibancada Esporte Clube,https://www.youtube.com/channel/UCFjb_iV8RMt0qDS1TgSH5Wg,23500,"https://www.arquibancadaec.com.br/, https://www.instagram.com/ArquibancadaEC, https://www.facebook.com/ArquibancadaEC, https://www.twitter.com/ArquibancadaEC, https://www.twitch.tv/ArquibancadaEC",contato.arquibancada@yahoo.com.br
EJ - Esporte Joinville,https://www.youtube.com/channel/UCtI0EeDvEv7sxBV72dDhRNA,8410,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Play,https://www.youtube.com/channel/UCGcUVHyLqNKWPHfOwzJOiig,12500,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Manaus TV,https://www.youtube.com/channel/UCjhLb1ilNmMlOIhGCjBFgVQ,12600,Nenhum link encontrado,Nenhum e-mail encontrado
Pop Bola Esporte Clube,https://www.youtube.com/channel/UC8lWyNqJfTIxg7bdvej0LEA,52500,Nenhum link encontrado,"contato@popbola.com.br, sociopopular.popbola@gmail.com, comercial@1bigmedia.group, publicidade@1bigmedia.group"
Esporte Serra,https://www.youtube.com/channel/UCerZCzgUOdN0_waR6ahCTAQ,3780,https://www.facebook.com/esporteserrawebradio,Nenhum e-mail encontrado
Esporte Campeão,https://www.youtube.com/channel/UC5B-B8mp23wFK0xcTKR7g4A,5940,Nenhum link encontrado,Nenhum e-mail encontrado
TV Esporte Alagoano,https://www.youtube.com/channel/UCKBMnuUh-gQ70H1jK-jHNjA,16400,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Na Cultura,https://www.youtube.com/channel/UCF1XteIenJWjnGTGqb6heSw,293000,https://linktr.ee/portalcultura,Nenhum e-mail encontrado
Dentro Do Esporte,https://www.youtube.com/channel/UCmgUZjPaGtUvQqtuPnZ8VCg,14600,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte de Primeira,https://www.youtube.com/channel/UCwefVh8pwRnLZcqrCyNoFKQ,2800,Nenhum link encontrado,Nenhum e-mail encontrado
TV BAHÊA - TV oficial do Esporte Clube Bahia,https://www.youtube.com/channel/UCcqRCjHozEb9CQHwf_cffdQ,335000,Nenhum link encontrado,Nenhum e-mail encontrado
Esporte Clube Pinheiros - TV PINHEIROS,https://www.youtube.com/channel/UCz6P5_gVc0j5mT6ekm8gxqw,5090,Nenhum link encontrado,Nenhum e-mail encontrado
RTI Esporte -  Informação com Emoção ,https://www.youtube.com/channel/UCsFZBCHFcJNfA2VEtV28nrA,8490,Nenhum link encontrado,Nenhum e-mail encontrado
Amigos do Esporte MT,https://www.youtube.com/channel/UCC_eJ3B_OQY9HWxpzoRmIFg,3870,Nenhum link encontrado,Nenhum e-mail encontrado
Revista Club do Esporte,https://www.youtube.com/channel/UCONKY2vLKKqpZh_ZOh6OObQ,12900,Nenhum link encontrado,Nenhum e-mail encontrado
